"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
55,0,2182593,"520110","2"
36,0,2225442,"520110","2"
56,0,2211782,"520110","2"
40,0,2218623,"520110","2"
60,0,2206362,"520110","2"
54,0,2199082,"520110","2"
40,0,2205482,"520110","2"
37,0,2218882,"520110","2"
46,0,2217622,"520110","2"
60,0,2208122,"520110","2"
61,0,2208122,"520110","2"
35,0,2203942,"520110","2"
34,0,2224385,"520110","2"
58,0,2012385,"520110","2"
62,0,2011435,"520110","2"
28,0,2012205,"520110","2"
58,0,2038105,"520110","2"
52,0,2014195,"520110","2"
82,0,2002085,"520110","2"
83,0,2002085,"520110","2"
50,0,2005095,"520110","2"
97,0,2013535,"520110","2"
61,0,2005815,"520110","2"
44,0,2016705,"520110","2"
83,0,2037744,"520110","2"
61,0,2028644,"520110","2"
46,0,2025264,"520110","2"
38,1,2032374,"520110","2"
59,0,2038884,"520110","2"
29,0,2026154,"520110","2"
106,0,2021294,"520110","2"
93,0,2022324,"520110","2"
55,0,2164874,"520110","2"
42,0,2024594,"520110","2"
54,0,2024414,"520110","2"
70,0,2035344,"520110","2"
37,0,2177363,"520110","2"
45,0,2181713,"520110","2"
119,0,2028565,"520110","2"
26,0,2175173,"520110","2"
57,0,2184163,"520110","2"
80,0,2181123,"520110","2"
81,0,2181123,"520110","2"
63,0,2186733,"520110","2"
60,0,2190743,"520110","2"
41,0,2172883,"520110","2"
81,0,2193413,"520110","2"
35,0,2201302,"520110","2"
41,0,2220722,"520110","2"
46,0,2209232,"520110","2"
44,0,2209432,"520110","2"
43,2,2212292,"520110","2"
29,0,2196355,"520110","2"
30,0,2196355,"520110","2"
31,0,2222124,"520110","2"
32,0,2222124,"520110","2"
29,0,2225012,"520110","2"
58,0,2222062,"520110","2"
98,0,2215942,"520110","2"
40,0,2221412,"520110","2"
79,0,2223372,"520110","2"
69,0,2007715,"520110","2"
70,0,2007715,"520110","2"
68,0,2016515,"520110","2"
54,0,2015735,"520110","2"
67,0,2017765,"520110","2"
71,0,1999625,"520110","2"
84,0,2008665,"520110","2"
133,0,2028874,"520110","2"
134,0,2028874,"520110","2"
83,0,2027104,"520110","2"
104,0,2036794,"520110","2"
50,0,2027394,"520110","2"
50,0,2028434,"520110","2"
58,0,2021474,"520110","2"
91,0,2020604,"520110","2"
64,0,2181203,"520110","2"
85,0,2183933,"520110","2"
53,0,2193333,"520110","2"
24,0,2185113,"520110","2"
68,0,2173053,"520110","2"
55,0,2175953,"520110","2"
59,0,2214102,"520110","2"
58,0,2201992,"520110","2"
59,0,2201992,"520110","2"
82,0,2199582,"520110","2"
69,0,2203212,"520110","2"
44,0,1999015,"520110","2"
47,0,2013855,"520110","2"
40,0,2013285,"520110","2"
31,0,2015925,"520110","2"
50,0,2002975,"520110","2"
56,0,2038954,"520110","2"
40,0,2166064,"520110","2"
44,0,2189733,"520110","2"
62,0,2187353,"520110","2"
62,0,2180303,"520110","2"
36,0,2186513,"520110","2"
55,0,2187013,"520110","2"
68,0,2180393,"520110","2"
69,0,2180393,"520110","2"
59,0,2176033,"520110","2"
73,0,2185333,"520110","2"
56,0,2186223,"520110","2"
57,0,2186223,"520110","2"
44,0,2178233,"520110","2"
58,0,2190863,"520110","2"
60,1,2205312,"520110","2"
60,0,2226652,"520110","2"
49,0,2221242,"520110","2"
50,0,2221242,"520110","2"
51,0,2221242,"520110","2"
52,0,2200342,"520110","2"
55,0,2224542,"520110","2"
68,0,2212902,"520110","2"
51,0,2216292,"520110","2"
68,0,1999105,"520110","2"
70,1,2008035,"520110","2"
86,0,2002655,"520110","2"
41,0,2018085,"520110","2"
90,0,2004595,"520110","2"
100,0,2009865,"520110","2"
121,2,2037814,"520110","2"
107,0,2026174,"520110","2"
128,0,2023844,"520110","2"
129,0,2023844,"520110","2"
71,0,2181033,"520110","2"
69,0,2192593,"520110","2"
86,0,2214582,"520110","2"
62,0,2223962,"520110","2"
56,0,2215022,"520110","2"
66,0,2015695,"520110","2"
73,0,2011335,"520110","2"
74,0,2011335,"520110","2"
63,0,2016715,"520110","2"
42,0,2014755,"520110","2"
49,0,2022194,"520110","2"
56,0,2035434,"520110","2"
50,0,2038344,"520110","2"
63,0,2039774,"520110","2"
51,0,2035984,"520110","2"
93,0,2021834,"520110","2"
73,0,2182473,"520110","2"
57,0,2188473,"520110","2"
57,0,2185883,"520110","2"
51,0,2202162,"520110","2"
57,0,2215392,"520110","2"
63,0,2215992,"520110","2"
64,0,2215992,"520110","2"
50,0,2198882,"520110","2"
102,2,2209582,"520110","2"
65,2,2227575,"520110","2"
54,0,2012425,"520110","2"
46,0,2040654,"520110","2"
51,0,2020044,"520110","2"
74,0,2032734,"520110","2"
58,0,2195173,"520110","2"
118,0,2187533,"520110","2"
84,0,2221082,"520110","2"
85,0,2221082,"520110","2"
27,0,2208032,"520110","2"
71,0,2219982,"520110","2"
94,0,2210542,"520110","2"
54,0,2003035,"520110","2"
50,0,2024225,"520110","2"
39,0,2007955,"520110","2"
40,0,2007955,"520110","2"
63,0,2000305,"520110","2"
46,0,2027914,"520110","2"
56,0,2019554,"520110","2"
51,0,2020524,"520110","2"
39,0,2188923,"520110","2"
40,0,2172623,"520110","2"
67,0,2185603,"520110","2"
103,0,2180613,"520110","2"
53,0,2181253,"520110","2"
43,0,2219562,"520110","2"
37,0,2205252,"520110","2"
61,0,2216232,"520110","2"
62,0,2216232,"520110","2"
72,0,2220992,"520110","2"
62,0,2221442,"520110","2"
