"NEWID","MEMBNO","PYMT2009","HWUSED09","QSTIMPYX","PYMT_009","HWUS_D09","QSTI_PYX"
2015873,1,"1","2",250,"D","D","D"
2015873,2,"1","2",250,"D","D","D"
2004553,1,"1","3",250,"D","D","D"
2004553,2,"1","3",250,"D","D","D"
2015723,2,"1","1",250,"D","D","D"
2001223,1,"1","3",250,"D","D","D"
2001163,1,"1","1",250,"D","D","D"
1997283,1,"1",,250,"D","C","D"
2013573,1,"1","3",250,"D","D","D"
2003333,1,"1","2",250,"D","D","D"
2003333,2,"1","2",250,"D","D","D"
1997053,1,,,.,"C","A","A"
1997023,2,,,.,"C","A","A"
2014033,2,"2",,.,"D","A","A"
2007033,1,"2",,.,"D","A","A"
2009423,1,"2",,.,"D","A","A"
2002233,1,"1","3",250,"D","D","D"
2005453,5,"1","2",250,"D","D","D"
2000223,1,"2",,.,"D","A","A"
2000223,2,"2",,.,"D","A","A"
1982014,1,"1","1",250,"D","D","D"
1982234,1,"1","2",250,"D","D","D"
1974754,1,"1","1",250,"D","D","D"
1980154,2,"1","1",250,"D","D","D"
2003964,1,"1","1",250,"D","D","D"
1982424,1,"1","3",250,"D","D","D"
1982424,3,"2",,.,"D","A","A"
2005713,1,"2",,.,"D","A","A"
1996953,1,"1","3",250,"D","D","D"
1996953,2,"1","1",250,"D","D","D"
2001273,1,"1","1",250,"D","D","D"
2001273,2,"2",,.,"D","A","A"
2010983,1,"1","1",250,"D","D","D"
2016293,1,"2",,.,"D","A","A"
2014203,1,"1","2",250,"D","D","D"
1979204,1,"1","3",250,"D","D","D"
1979204,2,"1","3",250,"D","D","D"
1980774,1,"2",,.,"D","A","A"
1987934,1,"1","3",250,"D","D","D"
1981094,1,"1","2",250,"D","D","D"
1981804,1,,,.,"C","A","A"
1981804,2,,,.,"C","A","A"
1985464,3,"1","1",250,"D","D","D"
1985464,4,"2",,.,"D","A","A"
1989674,1,"1","3",250,"D","D","D"
1993314,1,"2",,.,"D","A","A"
1973344,3,"1","1",250,"D","D","D"
1995024,1,"2",,.,"D","A","A"
1981744,1,"1",,250,"D","C","D"
1988784,2,"1","1",250,"D","D","D"
2017903,1,"1","1",250,"D","D","D"
2017903,2,"2",,.,"D","A","A"
2004463,1,"2",,.,"D","A","A"
1998103,1,"1","1",250,"D","D","D"
1998103,2,"1","1",250,"D","D","D"
1997093,2,"2",,.,"D","A","A"
2015193,3,"2",,.,"D","A","A"
2008023,1,"1","1",250,"D","D","D"
2015113,1,"2",,.,"D","A","A"
2006263,1,"1",,250,"D","C","D"
1979474,1,"1","3",250,"D","D","D"
1979474,2,"1","3",250,"D","D","D"
1987514,2,"2",,.,"D","A","A"
1992354,1,"1","3",250,"D","D","D"
1994854,4,"1","3",250,"D","D","D"
1980454,1,"1","1",250,"D","D","D"
2009464,1,"1","3",250,"D","D","D"
2009464,2,"1","3",250,"D","D","D"
1994604,1,"1","2",250,"D","D","D"
1997873,6,"1","2",250,"D","D","D"
2015733,1,"1","1",250,"D","D","D"
2015733,2,"1","1",250,"D","D","D"
2006333,1,"1","2",250,"D","D","D"
2012303,1,"1","1",250,"D","D","D"
2008663,1,"1","2",250,"D","D","D"
2014253,1,"1","3",250,"D","D","D"
1996523,1,"1","2",250,"D","D","D"
1996523,2,"1","1",250,"D","D","D"
1996523,3,"1","1",250,"D","D","D"
1991914,2,"1","3",250,"D","D","D"
1976204,1,"1","2",250,"D","D","D"
1994834,1,,,.,"C","A","A"
2007403,1,"1","2",250,"D","D","D"
2007403,2,"2",,.,"D","A","A"
2013853,1,"1","3",250,"D","D","D"
2001293,1,"1","3",250,"D","D","D"
2007323,1,"2",,.,"D","A","A"
1983964,1,"1","2",250,"D","D","D"
1985444,1,"1","2",250,"D","D","D"
1985444,2,"1","2",250,"D","D","D"
1976484,1,"2",,.,"D","A","A"
1995354,1,"1","3",250,"D","D","D"
2002653,1,,,.,"C","A","A"
2002653,2,,,.,"C","A","A"
1996573,1,"1","1",250,"D","D","D"
1984944,1,"1","2",250,"D","D","D"
1984944,2,"1","2",250,"D","D","D"
1984944,3,"2",,.,"D","A","A"
2011024,1,"1","1",250,"D","D","D"
1995224,1,"1","1",250,"D","D","D"
1978704,1,"1","2",250,"D","D","D"
1974144,3,,,.,"C","A","A"
1974144,4,,,.,"C","A","A"
1974634,1,"1","2",250,"D","D","D"
2013293,2,"1","1",250,"D","D","D"
2016603,1,"1","2",250,"D","D","D"
2016603,2,"1","2",250,"D","D","D"
2013603,2,"1","1",250,"D","D","D"
2009773,1,"1","1",250,"D","D","D"
2016713,1,"1","1",250,"D","D","D"
2004153,3,"1","1",250,"D","D","D"
2014753,1,"1","3",250,"D","D","D"
2011923,1,"1","1",250,"D","D","D"
2005213,1,"2",,.,"D","A","A"
1984244,2,"1","2",250,"D","D","D"
1997884,2,"1","2",250,"D","D","D"
2011204,1,"1","1",250,"D","D","D"
1981754,1,"1","1",250,"D","D","D"
1985504,1,"2",,.,"D","A","A"
1986974,1,"1","1",250,"D","D","D"
1986974,2,"1","1",250,"D","D","D"
2007233,1,"1","3",250,"D","D","D"
2003193,1,"1","2",250,"D","D","D"
2011793,1,"2",,.,"D","A","A"
2011793,3,,,.,"C","A","A"
2007003,1,"1","2",250,"D","D","D"
2007003,2,"1","2",250,"D","D","D"
2004633,1,"2",,.,"D","A","A"
