"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20081",1829115,117,0,"1","410","D","02","D",16,"D","","A","","A","","A","","A"
"20081",1829115,118,0,"1","410","D","01","D",16,"D","","A","","A","","A","","A"
"20081",1829115,119,0,"1","420","D","01","D",130,"D","","A","","A","","A","","A"
"20081",1829305,68,0,"1","420","D","02","D",36,"D","","A","","A","","A","","A"
"20081",1829375,53,0,"1","420","D","12","D",55,"D","","A","","A","","A","","A"
"20081",1829375,54,0,"2","420","D","10","D",55,"D","","A","","A","","A","","A"
"20081",1829525,49,0,"1","420","D","12","D",78,"D","","A","","A","","A","","A"
"20081",1829555,77,0,"1","400","D","11","D",25,"D","","A","","A","","A","","A"
"20081",1829725,76,0,"1","400","D","12","D",20,"D","","A","","A","","A","","A"
"20081",1829725,77,0,"2","410","D","10","D",16,"D","","A","","A","","A","","A"
"20081",1829765,57,0,"1","430","D","12","D",.,"H","410","D","415","D","","A","","A"
"20081",1829765,57,1,"1","410","D","12","D",49,"E","","A","","A","","A","","A"
"20081",1829765,57,2,"1","420","D","12","D",85,"E","","A","","A","","A","","A"
"20081",1829765,58,0,"1","420","D","11","D",70,"D","","A","","A","","A","","A"
"20081",1829815,46,0,"2","420","D","10","D",35,"D","","A","","A","","A","","A"
"20081",1829825,51,0,"1","420","D","12","D",177,"D","","A","","A","","A","","A"
"20081",1829825,52,0,"1","410","D","12","D",15,"D","","A","","A","","A","","A"
"20081",1830055,55,0,"1","420","D","12","D",52,"D","","A","","A","","A","","A"
"20081",1830115,46,0,"1","420","D","01","D",40,"D","","A","","A","","A","","A"
"20081",1830115,47,0,"1","410","D","02","D",16,"D","","A","","A","","A","","A"
"20081",1830315,67,0,"2","420","D","10","D",65,"D","","A","","A","","A","","A"
"20081",1830345,52,0,"1","420","D","11","D",30,"D","","A","","A","","A","","A"
"20081",1830375,36,0,"1","420","D","01","D",155,"F","","A","","A","","A","","A"
"20081",1830425,89,0,"1","410","D","12","D",79,"D","","A","","A","","A","","A"
"20081",1830425,90,0,"1","420","D","12","D",74,"D","","A","","A","","A","","A"
"20081",1830425,91,0,"1","420","D","02","D",103,"D","","A","","A","","A","","A"
"20081",1830445,54,0,"1","400","D","11","D",73,"D","","A","","A","","A","","A"
"20081",1830445,55,0,"1","410","D","11","D",40,"D","","A","","A","","A","","A"
"20081",1830475,77,0,"1","420","D","02","D",350,"D","","A","","A","","A","","A"
"20081",1830495,49,0,"1","420","D","11","D",200,"D","","A","","A","","A","","A"
"20081",1830505,62,0,"1","420","D","12","D",78,"D","","A","","A","","A","","A"
"20081",1830575,40,0,"1","410","D","02","D",15,"D","","A","","A","","A","","A"
"20081",1830595,57,0,"1","420","D","01","D",155,"D","","A","","A","","A","","A"
"20081",1830655,64,0,"2","400","D","10","D",27,"D","","A","","A","","A","","A"
"20081",1830715,35,0,"1","400","D","01","D",30,"D","","A","","A","","A","","A"
"20081",1830795,98,0,"2","430","D","10","D",.,"H","425","D","415","D","","A","","A"
"20081",1830795,98,1,"2","420","D","10","D",153,"E","","A","","A","","A","","A"
"20081",1830795,98,2,"2","420","D","10","D",48,"E","","A","","A","","A","","A"
"20081",1830815,57,0,"1","420","D","01","D",105,"D","","A","","A","","A","","A"
"20081",1830975,82,0,"1","420","D","12","D",105,"D","","A","","A","","A","","A"
"20081",1831165,86,0,"1","420","D","01","D",490,"D","","A","","A","","A","","A"
"20081",1831255,81,0,"2","410","D","10","D",90,"D","","A","","A","","A","","A"
"20081",1831295,63,0,"1","400","D","10","D",110,"D","","A","","A","","A","","A"
"20081",1831295,64,0,"2","420","D","10","D",105,"D","","A","","A","","A","","A"
"20081",1831325,42,0,"1","420","D","01","D",54,"D","","A","","A","","A","","A"
"20081",1831375,36,0,"1","420","D","12","D",50,"D","","A","","A","","A","","A"
"20081",1831475,53,0,"1","420","D","11","D",100,"D","","A","","A","","A","","A"
"20081",1831525,71,0,"1","420","D","01","D",123,"D","","A","","A","","A","","A"
"20081",1831585,89,0,"1","410","D","11","D",25,"D","","A","","A","","A","","A"
"20081",1831585,90,0,"1","420","D","11","D",240,"D","","A","","A","","A","","A"
"20081",1831625,38,0,"1","420","D","12","D",29,"D","","A","","A","","A","","A"
"20081",1831695,68,0,"1","420","D","01","D",220,"D","","A","","A","","A","","A"
"20081",1831705,42,0,"1","420","D","11","D",78,"D","","A","","A","","A","","A"
"20081",1831775,54,0,"1","410","D","02","D",40,"D","","A","","A","","A","","A"
"20081",1831785,50,0,"2","410","D","11","D",42,"D","","A","","A","","A","","A"
"20081",1831845,59,0,"1","420","D","11","D",38,"D","","A","","A","","A","","A"
"20081",1831845,60,0,"1","420","D","12","D",160,"D","","A","","A","","A","","A"
"20081",1831905,85,0,"2","420","D","10","D",145,"D","","A","","A","","A","","A"
"20081",1832075,66,0,"1","420","D","12","D",156,"D","","A","","A","","A","","A"
"20081",1832175,72,0,"1","420","D","01","D",30,"D","","A","","A","","A","","A"
"20081",1832255,56,0,"1","420","D","02","D",130,"D","","A","","A","","A","","A"
"20081",1832335,50,0,"1","420","D","12","D",40,"D","","A","","A","","A","","A"
"20081",1832345,58,0,"1","420","D","02","D",78,"D","","A","","A","","A","","A"
"20081",1832385,50,0,"2","420","D","11","D",78,"D","","A","","A","","A","","A"
"20081",1832495,72,0,"2","420","D","11","D",105,"D","","A","","A","","A","","A"
"20081",1832705,58,0,"2","410","D","11","D",15,"D","","A","","A","","A","","A"
