"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20121",2379465,48,0,"5","01","D","100","D",.,"A","3","D","07","D","2006","D",.,"A",.,"A",.,"A",2600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379485,52,0,"5","01","D","100","D",.,"A","3","D","12","D","1973","D",.,"A",.,"A",.,"A",952,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379515,25,0,"5","01","D","100","D",.,"A","3","D",,"C","1980","D",.,"A",.,"A",.,"A",1816,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379545,44,0,"5","01","D","100","D",.,"A","3","D","07","D","1997","D",.,"A",.,"A",.,"A",8400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379565,34,0,"5","01","D","100","D",.,"A","3","D",,"C","1970","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379625,30,0,"1","01","D","100","D",.,"A","3","D","05","D","2011","D",.,"A",.,"A",.,"A",3100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20121",2379635,28,0,"5","01","D","100","D",.,"A","3","D","09","D","1992","D",.,"A",.,"A",.,"A",700,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379665,58,0,"5","01","D","100","D",.,"A","3","D","08","D","2001","D",.,"A",.,"A",.,"A",3500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379665,59,0,"5","02","D","300","D",.,"A","1","D","08","D","1994","D",.,"A",.,"A",.,"A",130,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379715,49,0,"5","01","D","100","D",.,"A","3","D",,"C","1986","D",.,"A",.,"A",.,"A",500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379755,37,0,"5","01","D","100","D",.,"A","3","D","03","D","1989","D",.,"A",.,"A",.,"A",2400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2379805,66,0,"5","01","D","100","D",.,"A","3","D","08","D","1999","D",.,"A",.,"A",.,"A",3800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
