"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR"
"20101",2026424,29,0,"5","01","D","100","D","2009","D",0.75,"D",48,"D","02","D",269,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",269,"D",269,"D",269,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","TOYAC","D",,"A"
"20101",2027084,50,0,"5","01","D","100","D","2009","D",.,"A",36,"D","04","D",275,"D","3","D",.,"A",.,"A",3000,"D",.,"A","12","D",275,"D",275,"D",275,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","HONAA","D",,"A"
"20101",2027854,24,0,"5","01","D","100","D","2008","D",.,"A",36,"D","05","D",388,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",388,"D",388,"D",388,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAD","D",,"A"
"20101",2027864,33,0,"5","01","D","110","D","2007","D",.,"A",60,"D","11","D",590,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",590,"D",590,"D",590,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","NISAJ","D",,"A"
"20101",2028404,38,0,"5","01","D","100","D","2008","D",.,"A",36,"D","07","D",220,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",220,"D",220,"D",220,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAA","D",,"A"
"20101",2028764,49,0,"5","01","D","110","D","2007","D",.,"A",36,"D","02","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",490,"F",490,"F",490,"F",.,"A",.,"A",.,"A",.,"A",.,"A","DODAD","D",,"A"
"20101",2031194,37,0,"5","01","D","110","D","2008","D",.,"A",36,"D","06","D",350,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAC","D",,"A"
"20101",2032304,35,0,"5","01","D","100","D","2009","D",.,"A",36,"D","05","D",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAD","D",,"A"
"20101",2032304,36,0,"5","02","D","110","D","2009","D",.,"A",36,"D","05","D",350,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","NISAQ","D",,"A"
"20101",2033634,26,0,"5","01","D","100","D","2009","D",.,"A",36,"D","11","D",691,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",691,"D",691,"D",691,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","MRBAA","D",,"A"
