"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20101",1999125,27,0,"1","150","D","12","D",100,"D"
"20101",1999125,28,0,"1","150","D","01","D",40,"D"
"20101",1999125,29,0,"1","150","D","01","D",40,"D"
"20101",1999125,30,0,"1","150","D","01","D",40,"D"
"20101",1999125,31,0,"1","150","D","01","D",40,"D"
"20101",1999125,32,0,"1","150","D","01","D",20,"D"
"20101",1999125,33,0,"1","150","D","01","D",40,"D"
"20101",1999125,34,0,"1","150","D","01","D",20,"D"
"20101",1999125,35,0,"2","170","D","11","D",20,"D"
"20101",1999125,36,0,"2","150","D","11","D",270,"D"
"20101",1999125,37,0,"2","150","D","11","D",250,"D"
"20101",1999125,38,0,"2","150","D","11","D",40,"D"
"20101",1999125,39,0,"2","150","D","11","D",52,"D"
"20101",1999125,40,0,"2","150","D","11","D",40,"D"
"20101",1999125,41,0,"2","150","D","11","D",20,"D"
"20101",1999125,42,0,"2","150","D","11","D",20,"D"
"20101",1999125,43,0,"2","150","D","11","D",20,"D"
"20101",1999125,44,0,"2","150","D","11","D",40,"D"
"20101",1999135,15,0,"1","150","D","13","D",60,"D"
"20101",1999135,16,0,"1","160","D","10","D",25,"D"
"20101",1999145,13,0,"1","170","D","12","D",20,"D"
"20101",1999185,15,0,"1","150","D","13","D",40,"D"
"20101",1999215,16,0,"1","150","D","10","D",823,"D"
"20101",1999215,17,0,"1","150","D","11","D",823,"D"
"20101",1999215,18,0,"1","150","D","12","D",1223,"D"
"20101",1999215,19,0,"1","160","D","12","D",100,"D"
"20101",1999225,19,0,"1","150","D","13","D",200,"D"
"20101",1999235,16,0,"1","150","D","13","D",80,"D"
"20101",1999255,22,0,"1","170","D","12","D",25,"D"
"20101",1999255,23,0,"1","150","D","13","D",120,"D"
"20101",1999295,14,0,"1","170","D","10","D",250,"D"
"20101",1999325,19,0,"1","160","D","12","D",450,"D"
"20101",1999365,20,0,"1","170","D","12","D",75,"D"
"20101",1999365,21,0,"1","170","D","12","D",50,"D"
"20101",1999365,22,0,"1","160","D","12","D",10,"D"
"20101",1999365,23,0,"1","160","D","12","D",10,"D"
"20101",1999385,21,0,"1","150","D","13","D",30,"D"
"20101",1999395,14,0,"1","110","D","13","D",750,"D"
"20101",1999395,15,0,"1","120","D","13","D",500,"D"
"20101",1999465,16,0,"1","150","D","13","D",25,"D"
