"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20102",2276612,37,0,"1",2,"D",240,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",150,"D",.,"A"
"20102",2277223,27,0,"1",14,"D",325,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",30,"D"
"20102",2280842,55,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2296802,53,0,"1",6,"D",1458,"G",156,"D",.,"A",25,"D","1","D","1","D","2","D","1","D",461,"D",.,"A"
"20102",2299902,49,0,"1",2,"D",250,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",300,"D",.,"A"
"20102",2302632,47,0,"1",2,"D",600,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20102",2306555,38,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",80,"D",.,"A"
"20103",2171945,57,0,"1",1,"D",187,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20103",2173085,56,0,"1",3,"D",300,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20103",2175345,35,0,"1",5,"D",700,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",100,"D"
"20103",2175625,55,0,"1",3,"D",740,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",300,"D",.,"A"
"20103",2176725,54,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A","2","D","1","D","1","D","2","D",30,"D",.,"A"
"20103",2177155,69,0,"1",1,"D",159,"D",8,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",17,"D",.,"A"
"20103",2181665,23,0,"1",3,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",60,"D",.,"A"
"20103",2187745,69,0,"1",3,"D",300,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",400,"D",.,"A"
"20103",2188475,56,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",250,"D",.,"A"
"20103",2189035,52,0,"1",1,"D",250,"D",50,"D",.,"A",20,"D",,"A",,"A",,"A",,"A",250,"D",.,"A"
"20103",2190845,56,0,"1",1,"D",62,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20103",2192385,65,0,"1",1,"D",.,"A",6,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",94,"D",.,"A"
"20103",2195585,37,0,"1",2,"D",68,"D",.,"A",.,"A",35,"D",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20103",2200734,31,0,"1",3,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",150,"D",.,"A"
"20103",2202364,32,0,"1",10,"D",700,"D",150,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20103",2205164,63,0,"1",2,"D",220,"D",15,"D",50,"D",.,"A",,"A",,"A",,"A",,"A",35,"D",0,"D"
"20103",2205204,80,0,"1",2,"D",300,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20103",2206834,58,0,"1",1,"D",60,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",1,"D"
"20103",2208064,45,0,"1",3,"D",80,"G",6,"G",8,"G",21,"G",,"A",,"A",,"A",,"A",206,"G",19,"G"
"20103",2208994,59,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20103",2210184,63,0,"1",1,"D",205,"D",16,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",94,"D",2,"D"
"20103",2210734,52,0,"1",3,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20103",2210784,37,0,"1",3,"D",400,"D",50,"D",.,"A",200,"D",,"A",,"A",,"A",,"A",350,"D",.,"A"
"20103",2212084,63,0,"1",1,"D",104,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20103",2212394,50,0,"1",1,"D",.,"A",50,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",150,"D",.,"A"
"20103",2213184,58,0,"1",1,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20103",2213304,40,0,"1",1,"D",198,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20103",2216584,55,0,"1",2,"D",800,"D",100,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20103",2217074,29,0,"1",2,"D",150,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20103",2218244,29,0,"1",2,"D",200,"G",.,"A",.,"A",.,"A","2","D","1","D","2","D","2","D",.,"A",.,"A"
"20103",2220434,42,0,"1",1,"D",136,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",60,"D",.,"A"
"20103",2220974,64,0,"1",5,"D",650,"D",.,"A",.,"A",150,"D",,"A",,"A",,"A",,"A",400,"D",.,"A"
"20103",2221084,67,0,"1",1,"D",154,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",20,"D",.,"A"
"20103",2221994,48,0,"1",9,"D",.,"A",300,"D",100,"D",.,"A",,"A",,"A",,"A",,"A",450,"D",50,"D"
"20103",2226675,47,0,"1",1,"D",650,"G",.,"A",.,"A",.,"A","2","D","1","D","2","D","1","D",200,"D",.,"A"
"20103",2235023,35,0,"1",1,"D",230,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",80,"D",.,"A"
"20103",2236612,53,0,"1",.,"C",1000,"D",.,"A",.,"A",200,"D",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20103",2240293,49,0,"1",2,"D",150,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",60,"D",.,"A"
"20103",2241472,25,0,"1",3,"D",104,"G",30,"D",.,"A",.,"A","2","D","1","D","2","D","2","D",70,"D",50,"D"
"20103",2244583,72,0,"1",4,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",30,"D"
"20103",2252452,59,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
"20103",2252652,41,0,"1",1,"D",800,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",300,"D",.,"A"
"20103",2253912,40,0,"1",7,"D",2400,"G",100,"D",.,"A",.,"A","2","D","1","D","2","D","2","D",400,"D",.,"A"
"20103",2260593,32,0,"1",7,"D",.,"A",.,"A",.,"A",500,"D",,"A",,"A",,"A",,"A",500,"D",.,"A"
"20103",2262742,51,0,"1",3,"D",175,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",150,"D",150,"D"
"20103",2264303,26,0,"1",1,"D",40,"D",20,"D",.,"A",80,"D",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20103",2265012,52,0,"1",6,"D",600,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20103",2265963,35,0,"1",1,"D",200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",120,"D",.,"A"
"20103",2266862,41,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20103",2267923,56,0,"1",2,"D",300,"D",150,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",150,"D",.,"A"
"20103",2269782,82,0,"1",1,"D",50,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",10,"D"
"20103",2272292,27,0,"1",.,"C",75,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20103",2275892,43,0,"1",2,"D",118,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",70,"D",.,"A"
"20103",2281772,54,0,"1",2,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20103",2287883,65,0,"1",1,"D",130,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20103",2292123,47,0,"1",3,"D",1100,"D",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",305,"D",.,"A"
"20103",2298693,44,0,"1",1,"D",165,"D",25,"D",.,"A",200,"D",,"A",,"A",,"A",,"A",0,"D",.,"A"
"20103",2299062,43,0,"1",1,"D",96,"G",13,"G",.,"A",.,"A","1","D","1","D","2","D","2","D",41,"G",.,"A"
"20103",2300292,39,0,"1",5,"D",250,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",100,"D"
