"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20102",2298712,45,0,"1",.,"A",.,"A",.,"A"
"20102",2298872,38,0,"1",55,"D",.,"A",.,"A"
"20102",2299102,55,0,"1",.,"A",.,"A",50,"D"
"20102",2299314,52,0,"1",.,"A",.,"A",40,"D"
"20102",2299412,44,0,"1",10,"D",.,"A",.,"A"
"20102",2299442,41,0,"1",.,"A",.,"A",30,"D"
"20102",2300602,37,0,"1",8,"D",.,"A",30,"D"
"20102",2301072,21,0,"1",50,"D",.,"A",.,"A"
"20102",2301112,62,0,"1",0,"D",.,"A",.,"A"
"20102",2301822,24,0,"1",.,"A",.,"A",.,"A"
"20102",2302242,52,0,"1",200,"D",.,"A",.,"A"
"20102",2302583,18,0,"1",5,"D",.,"A",.,"A"
"20102",2302832,24,0,"1",.,"A",.,"A",.,"A"
"20102",2302932,46,0,"1",.,"A",.,"A",0,"D"
"20102",2303262,20,0,"1",5,"D",.,"A",.,"A"
"20102",2303724,34,0,"1",35,"D",.,"A",.,"A"
"20102",2303832,31,0,"1",0,"D",.,"A",.,"A"
"20102",2304372,42,0,"1",0,"D",.,"A",.,"A"
"20102",2305572,39,0,"1",40,"D",.,"A",.,"A"
"20102",2305882,57,0,"1",.,"A",.,"A",60,"D"
"20102",2306642,19,0,"1",.,"A",.,"A",120,"D"
"20102",2307772,48,0,"1",.,"A",.,"A",0,"D"
"20103",2169045,80,0,"1",50,"D",.,"A",.,"A"
"20103",2169055,31,0,"1",120,"D",.,"A",.,"A"
"20103",2169365,35,0,"1",.,"A",.,"A",120,"D"
"20103",2169655,36,0,"1",.,"A",.,"A",60,"D"
"20103",2169705,46,0,"1",20,"D",.,"A",.,"A"
"20103",2169795,25,0,"1",40,"D",.,"A",.,"A"
"20103",2169875,36,0,"1",.,"A",.,"A",200,"D"
"20103",2169925,56,0,"1",0,"D",.,"A",.,"A"
"20103",2169935,74,0,"1",35,"D",.,"A",.,"A"
"20103",2170205,35,0,"1",.,"A",.,"A",.,"A"
"20103",2170345,72,0,"1",.,"A",.,"A",0,"D"
"20103",2170365,35,0,"1",16,"D",.,"A",.,"A"
"20103",2170415,39,0,"1",.,"A",.,"A",4,"D"
"20103",2170805,64,0,"1",.,"A",.,"A",30,"D"
"20103",2170875,28,0,"1",.,"A",.,"A",144,"D"
"20103",2171185,36,0,"1",50,"D",.,"A",.,"A"
"20103",2171225,58,0,"1",.,"A",.,"A",80,"D"
"20103",2171325,50,0,"1",0,"D",.,"A",.,"A"
"20103",2171465,26,0,"1",.,"A",.,"A",.,"A"
"20103",2171515,63,0,"1",.,"A",.,"A",50,"D"
"20103",2171615,61,0,"1",.,"A",.,"A",25,"D"
"20103",2171645,57,0,"1",0,"D",.,"A",.,"A"
"20103",2171905,45,0,"1",20,"D",.,"A",.,"A"
"20103",2171955,39,0,"1",.,"A",.,"A",140,"D"
"20103",2172905,32,0,"1",20,"D",.,"A",.,"A"
"20103",2173015,25,0,"1",0,"D",.,"A",.,"A"
"20103",2173155,43,0,"1",.,"A",.,"A",20,"D"
"20103",2173235,33,0,"1",.,"A",.,"A",30,"D"
"20103",2173295,53,0,"1",20,"D",.,"A",.,"A"
"20103",2173325,82,0,"1",12,"D",.,"A",.,"A"
"20103",2173835,68,0,"1",.,"A",.,"A",20,"D"
"20103",2173915,57,0,"1",25,"D",.,"A",.,"A"
