"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX"
"20091",1991705,13,0,"1",.,"A",.,"A",.,"A",67,"D",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A"
"20091",1991722,30,0,"1",40,"D",.,"A",15,"D",25,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991732,20,0,"1",.,"A",.,"A",.,"A",55,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991745,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",15,"D"
"20091",1991752,24,0,"1",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",51,"D",45,"D",.,"A",43,"D",5,"D"
"20091",1991765,14,0,"1",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991772,23,0,"1",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A"
"20091",1991782,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1991802,19,0,"1",.,"A",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991832,21,0,"1",.,"A",.,"A",140,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991852,23,0,"1",.,"A",.,"A",13,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991862,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",14,"D",45,"D"
"20091",1991892,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D"
"20091",1991902,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D"
"20091",1991932,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",15,"D",.,"A",8,"D"
"20091",1991962,25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",54,"D",.,"A",24,"D",.,"A",.,"A",4,"D"
"20091",1991982,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",44,"D",25,"D"
"20091",1991992,28,0,"1",0,"D",.,"A",150,"D",.,"A",.,"A",19,"D",60,"D",.,"A",.,"A",45,"D",4,"D"
"20091",1992002,17,0,"1",.,"A",.,"A",75,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1992012,16,0,"1",325,"D",.,"A",160,"D",16,"D",.,"A",.,"A",10,"D",.,"A",20,"D",20,"D",4,"D"
"20091",1992032,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D"
"20091",1992042,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1992052,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",24,"D"
"20091",1992062,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D",.,"A",20,"D",.,"A"
"20091",1992072,15,0,"1",112,"F",240,"D",25,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
