"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD"
"20092",1982183,34,0,"1",390,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",390,"D","2","D"
"20092",1982194,44,0,"1",780,"D",260,"D",.,"A",780,"D",1500,"D",.,"A",.,"A",.,"A",520,"D","2","D"
"20092",1982203,35,0,"1",1040,"D",0,"D",.,"A",325,"D",0,"D",.,"A",.,"A",.,"A",1040,"D","2","D"
"20092",1982213,30,0,"1",5200,"D",455,"D",.,"A",5200,"D",600,"D",.,"A",.,"A",.,"A",4745,"D","2","D"
"20092",1982223,55,0,"1",650,"D",0,"D",390,"D",325,"D",0,"D",.,"A",.,"A",.,"A",650,"D","2","D"
"20092",1982233,51,0,"1",650,"D",195,"D",.,"A",195,"D",.,"A",.,"A",.,"A",.,"A",455,"D","2","D"
"20092",1982253,26,0,"1",325,"D",130,"D",130,"D",0,"D",0,"D",.,"A",.,"A",.,"A",195,"D","2","D"
"20092",1982273,45,0,"1",1300,"D",260,"D",130,"D",390,"D",0,"D",.,"A",.,"A",.,"A",1040,"D","2","D"
"20092",1982284,27,0,"1",650,"D",130,"D",.,"A",910,"D",0,"D",.,"A",.,"A",.,"A",520,"D","2","D"
"20092",1982303,39,0,"1",1040,"D",130,"D",.,"A",260,"D",0,"D",.,"A",.,"A",.,"A",910,"D","2","D"
"20092",1982315,31,0,"1",260,"D",65,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",195,"D","2","D"
"20092",1982323,54,0,"1",2600,"D",1300,"D",.,"A",1950,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D"
"20092",1982333,32,0,"1",1625,"D",0,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",1625,"D","2","D"
"20092",1982343,51,0,"1",1950,"D",130,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1820,"D","2","D"
"20092",1982353,85,0,"1",6500,"D",1950,"D",260,"D",780,"D",0,"D",.,"A",.,"A",104,"D",4550,"D","2","D"
"20092",1982364,33,0,"1",1625,"D",251,"F",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",905,"F","2","D"
"20092",1982384,59,0,"1",1300,"D",195,"D",.,"A",1040,"D",45,"D",.,"A",.,"A",.,"A",1105,"D","2","D"
"20092",1982393,43,0,"1",1300,"D",130,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D"
"20092",1982403,29,0,"1",715,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",585,"D","2","D"
"20092",1982423,42,0,"1",1300,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D"
"20092",1982433,34,0,"1",1625,"D",390,"D",390,"D",325,"D",.,"A",.,"A",.,"A",.,"A",1235,"D","2","D"
"20092",1982443,42,0,"1",1820,"D",520,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",1300,"D","2","D"
"20092",1982453,32,0,"1",975,"D",0,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",975,"D","2","D"
"20092",1982463,28,0,"1",814,"F",.,"A",.,"A",591,"D",.,"A",.,"A",.,"A",.,"A",678,"F","2","D"
