"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPFLUDX","VOPF_UDX","VOPPARKX","VOPP_RKX","VOPTOWX","VOPTOWX_","VOPDOCKX","VOPD_CKX","VOPPLCYX","VOPP_CYX","TANKGASX","TANK_ASX","QOIL3MCX","QOIL_MCX","JGASOXQV","JGAS_XQV","JDIESXQV","JDIE_XQV","VOPCLUBX","VOPC_UBX","VOPTOLLX","VOPT_LLX"
"20091",1908005,58,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A"
"20091",1908025,73,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",840,"D",.,"A",.,"A",.,"A"
"20091",1908035,44,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",45,"D",.,"A",.,"A",.,"A"
"20091",1908055,50,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A"
"20091",1908065,62,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D",180,"D",.,"A",.,"A",.,"A"
"20091",1908075,46,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",540,"D",.,"A",.,"A",.,"A"
"20091",1908085,66,0,"1",4,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2010,"D",.,"A",16,"D",4,"D"
"20091",1908095,43,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A"
"20091",1908105,42,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A"
"20091",1908115,57,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",750,"D",.,"A",.,"A",.,"A"
"20091",1908125,57,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A"
"20091",1908145,26,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",420,"D",.,"A",.,"A",.,"A"
"20091",1908155,54,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A"
"20091",1908185,66,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1200,"D",.,"A",.,"A",.,"A"
"20091",1908195,76,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",825,"D",.,"A",.,"A",270,"D"
"20091",1908205,55,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",750,"D",.,"A",.,"A",.,"A"
"20091",1908215,36,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",.,"A",.,"A",.,"A"
"20091",1908225,35,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1908235,73,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",288,"D",.,"A",.,"A",.,"A"
"20091",1908255,76,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",375,"D",.,"A",.,"A",.,"A"
"20091",1908265,48,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A"
"20091",1908275,87,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1272,"D",.,"A",.,"A",.,"A"
"20091",1908305,42,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",30,"D"
"20091",1908315,57,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A"
"20091",1908325,74,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A"
"20091",1908355,70,0,"1",9,"D",50,"D",.,"A",.,"A",.,"A",.,"A",25,"D",720,"D",.,"A",.,"A",16,"D"
"20091",1908375,75,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A"
"20091",1908405,47,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",375,"D",.,"A",.,"A",.,"A"
"20091",1908415,63,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A"
"20091",1908455,51,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",144,"D",.,"A",.,"A",.,"A"
"20091",1908465,47,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A"
"20091",1908475,44,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",.,"A",.,"A",.,"A"
"20091",1908485,28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1908515,96,0,"1",.,"A",28,"D",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A"
"20091",1908525,36,0,"1",12,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",720,"D",.,"A",.,"A",.,"A"
"20091",1908535,62,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",660,"D",.,"A",.,"A",.,"A"
"20091",1908545,35,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",750,"D",.,"A",.,"A",.,"A"
