PURCHASED,NEWID,UCC,AGE_REF,BLS_URBN,EDUC_REF,FAM_TYPE,HRSPRWK1,FAM_SIZE,FINCBEFX
0,4720012,20510,32.0,1.0,15.0,1.0,0.0,2.0,0.0
0,4883851,20510,63.0,1.0,13.0,8.0,40.0,1.0,50000.0
0,4883852,20510,63.0,1.0,13.0,8.0,40.0,1.0,50000.0
0,4883871,20510,61.0,1.0,12.0,9.0,24.0,3.0,42244.0
0,4851111,20510,57.0,1.0,14.0,8.0,40.0,1.0,0.0
0,4851112,20510,57.0,1.0,13.0,8.0,40.0,1.0,0.0
0,4720042,20510,25.0,1.0,13.0,1.0,40.0,2.0,30000.0
0,4982191,20510,57.0,1.0,10.0,5.0,0.0,6.0,168421.0
0,4982192,20510,57.0,1.0,10.0,5.0,0.0,6.0,168421.0
0,4720051,20510,77.0,1.0,12.0,8.0,0.0,1.0,12018.0
0,4720052,20510,77.0,1.0,12.0,8.0,0.0,1.0,12018.0
0,4785591,20510,38.0,1.0,14.0,8.0,40.0,1.0,60000.0
0,4785592,20510,38.0,1.0,14.0,8.0,40.0,1.0,60000.0
0,4851131,20510,87.0,1.0,15.0,1.0,0.0,2.0,100220.0
0,4851132,20510,87.0,1.0,15.0,1.0,0.0,2.0,100220.0
0,4982211,20510,71.0,1.0,15.0,1.0,0.0,2.0,143596.0
0,4982212,20510,71.0,1.0,15.0,1.0,0.0,2.0,143596.0
0,4785611,20510,42.0,1.0,14.0,8.0,30.0,1.0,13000.0
0,4785612,20510,42.0,1.0,14.0,8.0,30.0,1.0,13000.0
0,4982221,20510,59.0,1.0,12.0,9.0,40.0,2.0,47840.0
0,4982222,20510,59.0,1.0,12.0,9.0,40.0,2.0,47840.0
0,4851151,20510,31.0,1.0,13.0,3.0,40.0,7.0,0.0
0,4851152,20510,31.0,1.0,13.0,3.0,40.0,7.0,0.0
0,4720091,20510,73.0,1.0,15.0,1.0,0.0,2.0,62400.0
0,4720092,20510,73.0,1.0,15.0,1.0,0.0,2.0,62400.0
0,4851171,20510,45.0,1.0,14.0,5.0,40.0,4.0,79160.0
0,4851172,20510,45.0,1.0,14.0,5.0,40.0,4.0,79160.0
0,4851202,20510,39.0,1.0,16.0,7.0,40.0,2.0,50000.0
0,4720131,20510,73.0,1.0,16.0,8.0,0.0,1.0,0.0
0,4720132,20510,73.0,1.0,16.0,8.0,0.0,1.0,0.0
0,4851211,20510,36.0,1.0,16.0,8.0,55.0,1.0,162000.0
0,4851212,20510,36.0,1.0,16.0,8.0,55.0,1.0,162000.0
0,4982291,20510,77.0,1.0,16.0,8.0,0.0,1.0,13698.0
0,4982292,20510,77.0,1.0,16.0,8.0,0.0,1.0,13698.0
0,4851231,20510,60.0,1.0,14.0,4.0,45.0,3.0,137000.0
0,4851232,20510,60.0,1.0,14.0,4.0,45.0,3.0,137000.0
0,4720171,20510,69.0,1.0,16.0,1.0,50.0,2.0,248291.0
0,4720172,20510,69.0,1.0,16.0,1.0,50.0,2.0,248291.0
0,4720181,20510,36.0,1.0,15.0,3.0,50.0,4.0,203000.0
0,4720182,20510,36.0,1.0,15.0,3.0,50.0,4.0,203000.0
